time,CH1
   0.000000,   0.600000
   0.000250,   0.880000
   0.000500,   0.880000
   0.000750,   1.160000
   0.001000,   1.160000
   0.001250,   1.280000
   0.001500,   1.400000
   0.001750,   1.640000
   0.002000,   1.640000
   0.002250,   1.880000
   0.002500,   1.880000
   0.002750,   1.960000
   0.003000,   2.120000
   0.003250,   2.120000
   0.003500,   2.160000
   0.003750,   2.240000
   0.004000,   2.280000
   0.004250,   2.320000
   0.004500,   2.360000
   0.004750,   2.360000
   0.005000,   2.400000
   0.005250,   2.400000
   0.005500,   2.400000
   0.005750,   2.360000
   0.006000,   2.360000
   0.006250,   2.320000
   0.006500,   2.200000
   0.006750,   2.200000
   0.007000,   2.040000
   0.007250,   2.040000
   0.007500,   1.960000
   0.007750,   1.800000
   0.008000,   1.800000
   0.008250,   1.560000
   0.008500,   1.560000
   0.008750,   1.440000
   0.009000,   1.160000
   0.009250,   1.160000
   0.009500,   0.920000
   0.009750,   0.920000
   0.010000,   0.760000
   0.010250,   0.480000
   0.010500,   0.480000
   0.010750,   0.160000
   0.011000,   0.160000
   0.011250,   0.000000
   0.011500,  -0.320000
   0.011750,  -0.320000
   0.012000,  -0.640000
   0.012250,  -0.640000
   0.012500,  -0.800000
   0.012750,  -1.080000
   0.013000,  -1.080000
   0.013250,  -1.360000
   0.013500,  -1.360000
   0.013750,  -1.480000
   0.014000,  -1.720000
   0.014250,  -1.720000
   0.014500,  -1.960000
   0.014750,  -1.960000
   0.015000,  -2.040000
   0.015250,  -2.240000
   0.015500,  -2.240000
   0.015750,  -2.360000
   0.016000,  -2.360000
   0.016250,  -2.440000
   0.016500,  -2.520000
   0.016750,  -2.520000
   0.017000,  -2.560000
   0.017250,  -2.560000
   0.017500,  -2.600000
   0.017750,  -2.560000
   0.018000,  -2.560000
   0.018250,  -2.520000
   0.018500,  -2.520000
   0.018750,  -2.480000
   0.019000,  -2.400000
   0.019250,  -2.400000
   0.019500,  -2.240000
   0.019750,  -2.240000
   0.020000,  -2.200000
   0.020250,  -1.960000
   0.020500,  -1.960000
   0.020750,  -1.760000
   0.021000,  -1.760000
   0.021250,  -1.640000
   0.021500,  -1.400000
   0.021750,  -1.400000
   0.022000,  -1.120000
   0.022250,  -1.120000
   0.022500,  -0.960000
   0.022750,  -0.680000
   0.023000,  -0.680000
   0.023250,  -0.360000
   0.023500,  -0.360000
   0.023750,  -0.200000
   0.024000,   0.120000
   0.024250,   0.120000
   0.024500,   0.440000
   0.024750,   0.440000
   0.025000,   0.560000
   0.025250,   0.880000
   0.025500,   0.880000
   0.025750,   1.160000
   0.026000,   1.160000
   0.026250,   1.280000
   0.026500,   1.560000
   0.026750,   1.560000
   0.027000,   1.760000
   0.027250,   1.760000
   0.027500,   1.880000
   0.027750,   2.040000
   0.028000,   2.040000
   0.028250,   2.200000
   0.028500,   2.200000
   0.028750,   2.240000
   0.029000,   2.320000
   0.029250,   2.320000
   0.029500,   2.360000
   0.029750,   2.360000
   0.030000,   2.400000
   0.030250,   2.400000
   0.030500,   2.400000
   0.030750,   2.360000
   0.031000,   2.360000
   0.031250,   2.320000
   0.031500,   2.200000
   0.031750,   2.200000
   0.032000,   2.040000
   0.032250,   2.040000
   0.032500,   1.960000
   0.032750,   1.800000
   0.033000,   1.800000
   0.033250,   1.560000
   0.033500,   1.560000
   0.033750,   1.440000
   0.034000,   1.160000
   0.034250,   1.160000
   0.034500,   0.880000
   0.034750,   0.880000
   0.035000,   0.760000
   0.035250,   0.440000
   0.035500,   0.440000
   0.035750,   0.160000
   0.036000,   0.160000
   0.036250,   0.000000
   0.036500,  -0.320000
   0.036750,  -0.320000
   0.037000,  -0.640000
   0.037250,  -0.640000
   0.037500,  -0.800000
   0.037750,  -1.080000
   0.038000,  -1.080000
   0.038250,  -1.360000
   0.038500,  -1.360000
   0.038750,  -1.480000
   0.039000,  -1.720000
   0.039250,  -1.720000
   0.039500,  -1.960000
   0.039750,  -1.960000
   0.040000,  -2.080000
   0.040250,  -2.200000
   0.040500,  -2.200000
   0.040750,  -2.360000
   0.041000,  -2.360000
   0.041250,  -2.440000
   0.041500,  -2.520000
   0.041750,  -2.520000
   0.042000,  -2.560000
   0.042250,  -2.560000
   0.042500,  -2.600000
   0.042750,  -2.600000
   0.043000,  -2.600000
   0.043250,  -2.520000
   0.043500,  -2.520000
   0.043750,  -2.480000
   0.044000,  -2.400000
   0.044250,  -2.400000
   0.044500,  -2.240000
   0.044750,  -2.240000
   0.045000,  -2.160000
   0.045250,  -1.960000
   0.045500,  -1.960000
   0.045750,  -1.760000
   0.046000,  -1.760000
   0.046250,  -1.640000
   0.046500,  -1.400000
   0.046750,  -1.400000
   0.047000,  -1.080000
   0.047250,  -1.080000
   0.047500,  -0.960000
   0.047750,  -0.680000
   0.048000,  -0.680000
   0.048250,  -0.360000
   0.048500,  -0.360000
   0.048750,  -0.200000
   0.049000,   0.120000
   0.049250,   0.120000
   0.049500,   0.440000
   0.049750,   0.440000
   0.050000,   0.600000
   0.050250,   0.880000
   0.050500,   0.880000
   0.050750,   1.160000
   0.051000,   1.160000
   0.051250,   1.280000
   0.051500,   1.520000
   0.051750,   1.520000
   0.052000,   1.760000
   0.052250,   1.760000
   0.052500,   1.840000
   0.052750,   2.040000
   0.053000,   2.040000
   0.053250,   2.200000
   0.053500,   2.200000
   0.053750,   2.240000
   0.054000,   2.320000
   0.054250,   2.320000
   0.054500,   2.400000
   0.054750,   2.400000
   0.055000,   2.400000
   0.055250,   2.400000
   0.055500,   2.400000
   0.055750,   2.360000
   0.056000,   2.360000
   0.056250,   2.320000
   0.056500,   2.200000
   0.056750,   2.200000
   0.057000,   2.040000
   0.057250,   2.040000
   0.057500,   1.960000
   0.057750,   1.800000
   0.058000,   1.800000
   0.058250,   1.560000
   0.058500,   1.560000
   0.058750,   1.440000
   0.059000,   1.200000
   0.059250,   1.200000
   0.059500,   0.920000
   0.059750,   0.920000
   0.060000,   0.760000
   0.060250,   0.440000
   0.060500,   0.440000
   0.060750,   0.160000
   0.061000,   0.160000
   0.061250,   0.000000
   0.061500,  -0.320000
   0.061750,  -0.320000
   0.062000,  -0.640000
   0.062250,  -0.640000
   0.062500,  -0.800000
   0.062750,  -1.080000
   0.063000,  -1.080000
   0.063250,  -1.360000
   0.063500,  -1.360000
   0.063750,  -1.480000
   0.064000,  -1.720000
   0.064250,  -1.720000
   0.064500,  -1.960000
   0.064750,  -1.960000
   0.065000,  -2.080000
   0.065250,  -2.240000
   0.065500,  -2.240000
   0.065750,  -2.360000
   0.066000,  -2.360000
   0.066250,  -2.440000
   0.066500,  -2.520000
   0.066750,  -2.520000
   0.067000,  -2.560000
   0.067250,  -2.560000
   0.067500,  -2.600000
   0.067750,  -2.560000
   0.068000,  -2.560000
   0.068250,  -2.520000
   0.068500,  -2.520000
   0.068750,  -2.480000
   0.069000,  -2.400000
   0.069250,  -2.400000
   0.069500,  -2.240000
   0.069750,  -2.240000
   0.070000,  -2.160000
   0.070250,  -2.000000
   0.070500,  -2.000000
   0.070750,  -1.760000
   0.071000,  -1.760000
   0.071250,  -1.640000
   0.071500,  -1.400000
   0.071750,  -1.400000
   0.072000,  -1.080000
   0.072250,  -1.080000
   0.072500,  -0.960000
   0.072750,  -0.640000
   0.073000,  -0.640000
   0.073250,  -0.360000
   0.073500,  -0.360000
   0.073750,  -0.200000
   0.074000,   0.120000
   0.074250,   0.120000
   0.074500,   0.440000
   0.074750,   0.440000
   0.075000,   0.600000
   0.075250,   0.880000
   0.075500,   0.880000
   0.075750,   1.160000
   0.076000,   1.160000
   0.076250,   1.280000
   0.076500,   1.520000
   0.076750,   1.520000
   0.077000,   1.760000
   0.077250,   1.760000
   0.077500,   1.840000
   0.077750,   2.040000
   0.078000,   2.040000
   0.078250,   2.200000
   0.078500,   2.200000
   0.078750,   2.240000
   0.079000,   2.320000
   0.079250,   2.320000
   0.079500,   2.360000
   0.079750,   2.360000
   0.080000,   2.400000
   0.080250,   2.400000
   0.080500,   2.400000
   0.080750,   2.360000
   0.081000,   2.360000
   0.081250,   2.280000
   0.081500,   2.200000
   0.081750,   2.200000
   0.082000,   2.080000
   0.082250,   2.080000
   0.082500,   1.960000
   0.082750,   1.760000
   0.083000,   1.760000
   0.083250,   1.560000
   0.083500,   1.560000
   0.083750,   1.440000
   0.084000,   1.200000
   0.084250,   1.200000
   0.084500,   0.920000
   0.084750,   0.920000
   0.085000,   0.760000
   0.085250,   0.480000
   0.085500,   0.480000
   0.085750,   0.160000
   0.086000,   0.160000
   0.086250,  -0.040000
   0.086500,  -0.320000
   0.086750,  -0.320000
   0.087000,  -0.640000
   0.087250,  -0.640000
   0.087500,  -0.800000
   0.087750,  -1.080000
   0.088000,  -1.080000
   0.088250,  -1.360000
   0.088500,  -1.360000
   0.088750,  -1.480000
   0.089000,  -1.720000
   0.089250,  -1.720000
   0.089500,  -1.960000
   0.089750,  -1.960000
   0.090000,  -2.040000
   0.090250,  -2.240000
   0.090500,  -2.240000
   0.090750,  -2.360000
   0.091000,  -2.360000
   0.091250,  -2.440000
   0.091500,  -2.520000
   0.091750,  -2.520000
   0.092000,  -2.560000
   0.092250,  -2.560000
   0.092500,  -2.600000
   0.092750,  -2.560000
   0.093000,  -2.560000
   0.093250,  -2.520000
   0.093500,  -2.520000
   0.093750,  -2.480000
   0.094000,  -2.360000
   0.094250,  -2.360000
   0.094500,  -2.240000
   0.094750,  -2.240000
   0.095000,  -2.200000
   0.095250,  -2.000000
   0.095500,  -2.000000
   0.095750,  -1.760000
   0.096000,  -1.760000
   0.096250,  -1.640000
   0.096500,  -1.400000
   0.096750,  -1.400000
   0.097000,  -1.120000
   0.097250,  -1.120000
   0.097500,  -0.960000
   0.097750,  -0.640000
   0.098000,  -0.640000
   0.098250,  -0.360000
   0.098500,  -0.360000
   0.098750,  -0.200000
   0.099000,   0.120000
   0.099250,   0.120000
   0.099500,   0.440000
   0.099750,   0.440000
   0.100000,   0.560000
   0.100250,   0.880000
   0.100500,   0.880000
   0.100750,   1.160000
   0.101000,   1.160000
   0.101250,   1.280000
   0.101500,   1.560000
   0.101750,   1.560000
   0.102000,   1.760000
   0.102250,   1.760000
   0.102500,   1.840000
   0.102750,   2.040000
   0.103000,   2.040000
   0.103250,   2.200000
   0.103500,   2.200000
   0.103750,   2.240000
   0.104000,   2.320000
   0.104250,   2.320000
   0.104500,   2.400000
   0.104750,   2.400000
   0.105000,   2.400000
   0.105250,   2.400000
   0.105500,   2.400000
   0.105750,   2.360000
   0.106000,   2.360000
   0.106250,   2.320000
   0.106500,   2.200000
   0.106750,   2.200000
   0.107000,   2.040000
   0.107250,   2.040000
   0.107500,   1.960000
   0.107750,   1.800000
   0.108000,   1.800000
   0.108250,   1.560000
   0.108500,   1.560000
   0.108750,   1.440000
   0.109000,   1.200000
   0.109250,   1.200000
   0.109500,   0.920000
   0.109750,   0.920000
   0.110000,   0.760000
   0.110250,   0.440000
   0.110500,   0.440000
   0.110750,   0.160000
   0.111000,   0.160000
   0.111250,   0.000000
   0.111500,  -0.320000
   0.111750,  -0.320000
   0.112000,  -0.640000
   0.112250,  -0.640000
   0.112500,  -0.800000
   0.112750,  -1.080000
   0.113000,  -1.080000
   0.113250,  -1.360000
   0.113500,  -1.360000
   0.113750,  -1.480000
   0.114000,  -1.720000
   0.114250,  -1.720000
   0.114500,  -1.960000
   0.114750,  -1.960000
   0.115000,  -2.040000
   0.115250,  -2.240000
   0.115500,  -2.240000
   0.115750,  -2.360000
   0.116000,  -2.360000
   0.116250,  -2.440000
   0.116500,  -2.520000
   0.116750,  -2.520000
   0.117000,  -2.560000
   0.117250,  -2.560000
   0.117500,  -2.600000
   0.117750,  -2.600000
   0.118000,  -2.600000
   0.118250,  -2.520000
   0.118500,  -2.520000
   0.118750,  -2.480000
   0.119000,  -2.400000
   0.119250,  -2.400000
   0.119500,  -2.240000
   0.119750,  -2.240000
   0.120000,  -2.160000
   0.120250,  -1.960000
   0.120500,  -1.960000
   0.120750,  -1.760000
   0.121000,  -1.760000
   0.121250,  -1.640000
   0.121500,  -1.400000
   0.121750,  -1.400000
   0.122000,  -1.080000
   0.122250,  -1.080000
   0.122500,  -0.960000
   0.122750,  -0.680000
   0.123000,  -0.680000
   0.123250,  -0.360000
   0.123500,  -0.360000
   0.123750,  -0.200000
   0.124000,   0.120000
   0.124250,   0.120000
   0.124500,   0.440000
   0.124750,   0.440000
   0.125000,   0.560000
   0.125250,   0.880000
   0.125500,   0.880000
   0.125750,   1.160000
